iter	Passed	Remaining
583	3216	2290
584	3221	2285
585	3226	2279
586	3231	2273
587	3236	2267
588	3241	2261
589	3246	2255
590	3250	2249
591	3255	2243
592	3260	2237
593	3264	2231
594	3269	2225
595	3274	2219
596	3278	2213
597	3283	2207
598	3288	2201
599	3292	2195
600	3297	2189
601	3302	2183
602	3307	2177
603	3312	2171
604	3316	2165
605	3321	2159
606	3326	2153
607	3330	2147
608	3335	2141
609	3340	2135
610	3344	2129
611	3349	2123
612	3354	2117
613	3358	2111
614	3363	2105
615	3367	2099
616	3372	2093
617	3379	2088
618	3385	2083
619	3390	2078
620	3396	2073
621	3402	2067
622	3407	2061
623	3412	2056
624	3417	2050
625	3421	2044
626	3427	2038
627	3432	2033
628	3439	2028
629	3444	2023
630	3449	2017
631	3454	2011
632	3458	2005
633	3463	1999
634	3468	1993
635	3473	1987
636	3477	1981
637	3482	1975
638	3487	1970
639	3491	1964
640	3496	1958
641	3500	1952
642	3505	1946
643	3511	1941
644	3516	1935
645	3520	1929
646	3525	1923
647	3530	1917
648	3534	1911
649	3539	1905
650	3544	1900
651	3551	1895
652	3559	1891
653	3564	1885
654	3570	1880
655	3576	1875
656	3581	1869
657	3587	1864
658	3593	1859
659	3598	1853
660	3602	1847
661	3607	1841
662	3613	1836
663	3617	1830
664	3622	1824
665	3626	1818
666	3631	1812
667	3636	1807
668	3641	1801
669	3647	1796
670	3652	1791
671	3657	1785
672	3662	1779
673	3666	1773
674	3671	1767
675	3676	1761
676	3680	1756
677	3685	1750
678	3697	1748
679	3716	1748
680	3727	1746
681	3741	1744
682	3749	1740
683	3760	1737
684	3769	1733
685	3779	1729
686	3788	1725
687	3804	1725
688	3812	1720
689	3820	1716
690	3830	1713
691	3838	1708
692	3852	1706
693	3861	1702
694	3870	1698
695	3880	1694
696	3888	1690
697	3897	1686
698	3904	1681
699	3910	1676
700	3918	1671
701	3929	1667
702	3936	1663
703	3944	1658
704	3951	1653
705	3958	1648
706	3965	1643
707	3975	1639
708	3982	1634
709	3990	1629
710	3997	1624
711	4003	1619
712	4009	1613
713	4016	1609
714	4024	1604
715	4031	1599
716	4039	1594
717	4045	1588
718	4051	1583
719	4057	1577
720	4062	1572
721	4068	1566
722	4074	1560
723	4080	1555
724	4088	1550
725	4097	1546
726	4106	1542
727	4115	1537
728	4125	1533
729	4134	1529
730	4143	1524
731	4149	1519
732	4157	1514
733	4168	1510
734	4176	1505
735	4187	1502
736	4194	1496
737	4200	1491
738	4208	1486
739	4214	1480
740	4220	1475
741	4226	1469
742	4232	1463
743	4238	1458
744	4245	1453
745	4253	1448
746	4260	1442
747	4267	1437
748	4274	1432
749	4283	1427
750	4292	1423
751	4307	1420
752	4316	1415
753	4325	1411
754	4332	1405
755	4339	1400
756	4347	1395
757	4354	1390
758	4361	1384
759	4368	1379
760	4376	1374
761	4385	1369
762	4392	1364
763	4401	1359
764	4409	1354
765	4416	1349
766	4424	1343
767	4432	1338
768	4440	1333
769	4448	1328
770	4455	1323
771	4467	1319
772	4476	1314
773	4489	1310
774	4497	1305
775	4505	1300
776	4515	1296
777	4523	1290
778	4531	1285
779	4539	1280
780	4545	1274
781	4551	1268
782	4558	1263
783	4564	1257
784	4570	1251
785	4576	1246
786	4582	1240
787	4588	1234
788	4594	1228
789	4601	1223
790	4607	1217
791	4613	1211
792	4618	1205
793	4625	1199
794	4630	1194
795	4635	1188
796	4642	1182
797	4650	1177
798	4657	1171
799	4664	1166
800	4673	1161
801	4681	1155
802	4686	1149
803	4691	1143
804	4696	1137
805	4700	1131
806	4706	1125
807	4710	1119
808	4715	1113
809	4720	1107
810	4725	1101
811	4729	1095
812	4734	1088
813	4738	1082
814	4743	1076
815	4749	1070
816	4755	1065
817	4762	1059
